material,condition,contamination,unit,quantity,broken_percentage,condition_score,contamination_score,has_cracks,structural_compromised,has_rust,has_rot,is_moist,has_hazardous_coating,is_separable,recommended_pathway
Steel,Good,None,kg,2981.5,3.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Wood,Moderate,Hazardous,tonnes,316.2,17.1,2.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Brick,Severely Damaged,High,kg,2744.8,17.7,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Concrete,Good,None,kg,3577.2,7.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Mixed Construction Waste,Severely Damaged,Hazardous,tonnes,1283.8,86.1,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Plastic,Moderate,Moderate,units,5838.9,32.2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Brick,Good,None,tonnes,6093.7,1.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Plastic,Damaged,Moderate,tonnes,1442.9,59.8,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Glass,Good,None,units,4938.1,3.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Concrete,Moderate,None,tonnes,634.6,16.3,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Concrete,Excellent,None,kg,4023.9,5.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Asphalt,Severely Damaged,Moderate,cubic metres,1232.3,31.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Brick,Damaged,Low,tonnes,2052.9,67.2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Steel,Moderate,Low,units,5470.6,8.6,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,REPAIR
Brick,Damaged,Low,units,7175.7,79.7,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Glass,Moderate,None,cubic metres,5297.6,22.1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Plastic,Moderate,Hazardous,units,4469.8,71.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Brick,Moderate,Hazardous,kg,231.6,85.9,2.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Brick,Good,Hazardous,units,5306.4,52.8,3.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Soil,Good,Hazardous,kg,6308.9,24.4,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Mixed Construction Waste,Severely Damaged,Moderate,tonnes,4950.3,70.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RECOVER
Wood,Damaged,Low,kg,2705.8,52.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,RECOVER
Gypsum,Severely Damaged,None,kg,2505.3,52.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Ceramic / Tiles,Damaged,Hazardous,tonnes,2979.5,41.5,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Concrete,Excellent,None,cubic metres,3738.4,7.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Soil,Damaged,Moderate,tonnes,6036.6,34.4,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Gypsum,Damaged,Moderate,units,5498.7,32.9,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,RECYCLE
Wood,Good,None,units,7316.1,22.8,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Mixed Construction Waste,Moderate,Moderate,tonnes,3074.3,21.4,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Asphalt,Damaged,Low,kg,3888.4,49.7,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Wood,Moderate,Moderate,units,160.9,41.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,RECOVER
Wood,Damaged,Low,kg,5161.1,33.2,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,RECOVER
Asphalt,Damaged,None,tonnes,83.2,43.3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Mixed Construction Waste,Moderate,Moderate,cubic metres,6079.8,54.4,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Steel,Excellent,None,cubic metres,7740.7,2.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Steel,Good,None,kg,7196.3,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Concrete,Damaged,Low,units,5709.4,30.3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Ceramic / Tiles,Moderate,None,cubic metres,753.2,33.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Concrete,Moderate,High,units,5493.6,27.7,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Concrete,Excellent,None,cubic metres,2433.0,3.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Mixed Construction Waste,Severely Damaged,Moderate,units,2589.3,39.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RECOVER
Brick,Excellent,None,tonnes,2241.4,3.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Glass,Moderate,Low,tonnes,106.7,52.1,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Brick,Damaged,None,kg,4950.9,40.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Concrete,Excellent,Hazardous,units,6981.8,16.4,4.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Brick,Good,None,kg,4613.8,0.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Ceramic / Tiles,Damaged,Low,kg,7403.2,8.4,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Steel,Good,None,tonnes,643.8,3.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Concrete,Moderate,None,tonnes,3413.3,52.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Asphalt,Damaged,Low,tonnes,169.2,31.6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Concrete,Severely Damaged,None,kg,4623.1,77.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Asphalt,Damaged,Low,units,5820.0,69.6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Ceramic / Tiles,Good,Hazardous,cubic metres,5796.2,31.7,3.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Mixed Construction Waste,Moderate,Low,units,7061.5,27.8,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RECOVER
Wood,Damaged,Moderate,tonnes,4712.5,35.2,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,RECOVER
Steel,Severely Damaged,High,units,4661.0,9.2,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Gypsum,Damaged,Low,units,1493.6,30.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Ceramic / Tiles,Excellent,None,kg,7583.3,4.9,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Plastic,Severely Damaged,High,tonnes,4255.7,64.7,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Brick,Damaged,Moderate,tonnes,2262.8,64.6,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Glass,Damaged,None,cubic metres,388.9,56.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Brick,Severely Damaged,Low,units,1885.6,75.1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Brick,Good,None,cubic metres,1641.4,5.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Glass,Excellent,None,tonnes,5064.5,5.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Plastic,Severely Damaged,Hazardous,cubic metres,5349.0,68.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Plastic,Severely Damaged,Moderate,tonnes,1733.7,26.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Glass,Excellent,None,tonnes,2945.6,4.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Steel,Damaged,Low,kg,7568.4,32.9,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,REPAIR
Asphalt,Damaged,None,tonnes,868.2,55.9,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Wood,Damaged,None,kg,3862.2,17.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Ceramic / Tiles,Moderate,Low,kg,3044.0,23.7,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Asphalt,Severely Damaged,None,kg,4036.9,76.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Brick,Good,None,cubic metres,1329.2,15.3,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Asphalt,Severely Damaged,Moderate,cubic metres,7765.4,45.6,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Brick,Excellent,High,kg,4871.3,47.4,4.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Brick,Moderate,None,units,2115.2,18.5,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Plastic,Moderate,Low,kg,1224.1,23.2,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Plastic,Damaged,Low,kg,7638.1,49.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Brick,Excellent,None,kg,5408.1,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Ceramic / Tiles,Excellent,None,kg,4449.2,2.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Wood,Moderate,Moderate,kg,7004.1,36.3,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,RECOVER
Concrete,Damaged,Low,cubic metres,1591.8,45.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Steel,Damaged,Low,cubic metres,7795.4,22.4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,REPAIR
Wood,Damaged,High,units,2459.0,80.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Glass,Excellent,None,units,1924.4,3.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Mixed Construction Waste,Severely Damaged,Moderate,units,5121.2,25.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Steel,Damaged,Low,cubic metres,1960.9,20.6,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,REPAIR
Concrete,Moderate,None,cubic metres,1470.8,17.4,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Steel,Excellent,None,kg,6216.3,3.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Steel,Moderate,Low,tonnes,3004.1,26.3,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Steel,Moderate,Hazardous,units,3276.8,34.4,2.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Ceramic / Tiles,Damaged,None,tonnes,6069.8,16.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Asphalt,Damaged,Moderate,units,6032.6,57.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Ceramic / Tiles,Good,Low,tonnes,6853.0,5.2,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Ceramic / Tiles,Excellent,None,kg,400.1,1.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Ceramic / Tiles,Good,None,cubic metres,6607.5,1.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Concrete,Damaged,Low,cubic metres,2881.0,27.7,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Brick,Good,Low,units,6053.1,29.9,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Steel,Severely Damaged,Hazardous,units,5328.9,70.1,0.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Glass,Moderate,Moderate,kg,7149.6,60.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Glass,Good,Hazardous,cubic metres,4491.1,35.4,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Asphalt,Moderate,Low,tonnes,5527.8,47.3,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Concrete,Good,High,tonnes,3469.2,20.6,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Mixed Construction Waste,Moderate,Low,kg,3986.9,59.4,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Glass,Good,None,tonnes,6334.5,3.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Gypsum,Severely Damaged,None,kg,1370.5,29.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Mixed Construction Waste,Moderate,Low,kg,4816.6,54.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RECOVER
Gypsum,Damaged,Moderate,units,7610.9,70.9,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Mixed Construction Waste,Damaged,Low,cubic metres,5292.3,35.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Concrete,Good,None,units,7860.0,0.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Wood,Good,Hazardous,units,4278.6,27.5,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Ceramic / Tiles,Good,Low,tonnes,5952.2,29.4,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Plastic,Severely Damaged,Moderate,units,3659.7,24.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Gypsum,Damaged,Hazardous,kg,5979.6,53.7,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Wood,Severely Damaged,Low,tonnes,3749.0,59.6,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,RECOVER
Brick,Damaged,Low,cubic metres,5298.8,59.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Glass,Good,High,tonnes,7300.8,82.9,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Glass,Damaged,None,tonnes,873.3,25.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Concrete,Excellent,Hazardous,kg,4406.4,71.4,4.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Soil,Moderate,High,tonnes,421.0,15.4,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Ceramic / Tiles,Good,None,kg,1519.0,0.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Concrete,Excellent,None,cubic metres,4215.5,3.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Soil,Severely Damaged,Moderate,cubic metres,5739.4,45.6,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,RECYCLE
Brick,Moderate,Low,cubic metres,7983.8,28.6,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Soil,Excellent,Hazardous,units,4304.1,87.3,4.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Concrete,Severely Damaged,High,cubic metres,2980.1,81.7,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Mixed Construction Waste,Severely Damaged,Low,units,1983.7,42.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Brick,Damaged,Low,tonnes,6895.7,19.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Plastic,Damaged,Hazardous,tonnes,3259.0,82.3,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Soil,Good,High,units,7154.4,48.9,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Ceramic / Tiles,Damaged,Low,tonnes,1197.0,29.2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Wood,Good,Low,tonnes,367.5,5.2,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Plastic,Damaged,Hazardous,kg,5075.3,63.9,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Plastic,Severely Damaged,Low,kg,341.1,32.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Concrete,Damaged,Moderate,tonnes,2127.6,63.9,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Ceramic / Tiles,Excellent,None,tonnes,4798.1,5.3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Asphalt,Good,High,cubic metres,6997.1,57.5,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Glass,Moderate,Hazardous,tonnes,1092.5,52.8,2.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Gypsum,Damaged,Moderate,units,2427.7,60.8,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Ceramic / Tiles,Good,None,units,6920.8,5.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Steel,Excellent,High,kg,5704.3,67.4,4.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Soil,Damaged,Moderate,units,730.0,79.6,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Ceramic / Tiles,Excellent,None,cubic metres,1832.7,1.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Steel,Damaged,High,kg,7920.7,50.8,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Glass,Damaged,None,kg,1461.2,77.9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Steel,Excellent,None,cubic metres,4259.0,6.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Asphalt,Moderate,Low,units,5938.6,50.7,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Gypsum,Severely Damaged,Low,cubic metres,3089.9,78.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Glass,Good,Low,units,5033.1,10.5,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Steel,Moderate,Hazardous,cubic metres,3720.7,49.2,2.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Concrete,Good,None,kg,4199.6,8.4,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Mixed Construction Waste,Moderate,Low,cubic metres,6964.8,26.2,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Brick,Good,None,cubic metres,3836.0,10.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Mixed Construction Waste,Moderate,High,kg,4631.0,38.5,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Plastic,Damaged,Moderate,tonnes,4695.8,28.3,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Gypsum,Damaged,None,tonnes,7309.5,33.7,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,RECYCLE
Steel,Moderate,None,tonnes,2895.5,23.3,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,REPAIR
Steel,Good,None,units,3523.8,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Brick,Damaged,None,tonnes,3061.5,62.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Wood,Moderate,Low,kg,5180.9,26.5,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Plastic,Good,High,kg,5476.6,73.6,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Glass,Good,None,tonnes,637.2,5.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Gypsum,Severely Damaged,Moderate,kg,2311.7,49.6,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,RECOVER
Gypsum,Severely Damaged,Moderate,cubic metres,6446.9,51.8,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Ceramic / Tiles,Severely Damaged,High,units,1055.5,86.6,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Soil,Good,Hazardous,tonnes,1878.7,13.1,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Brick,Damaged,Moderate,cubic metres,798.2,72.7,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Ceramic / Tiles,Good,None,tonnes,4011.2,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Gypsum,Severely Damaged,None,units,3607.5,67.3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,RECYCLE
Glass,Moderate,None,cubic metres,6418.7,8.6,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Asphalt,Severely Damaged,Moderate,tonnes,3661.1,46.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Gypsum,Moderate,Moderate,units,7502.6,43.9,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Brick,Damaged,None,tonnes,7487.2,46.8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Brick,Excellent,None,cubic metres,1267.8,7.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Steel,Excellent,Hazardous,cubic metres,4173.1,23.9,4.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Concrete,Good,None,units,1947.1,9.2,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Steel,Good,None,tonnes,5510.2,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Concrete,Moderate,None,kg,4521.8,56.6,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Concrete,Excellent,None,tonnes,6688.0,0.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Asphalt,Severely Damaged,Low,units,4043.3,56.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Wood,Excellent,High,units,6188.8,60.2,4.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Ceramic / Tiles,Good,None,tonnes,5198.8,7.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Glass,Excellent,None,units,2095.7,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Soil,Moderate,High,tonnes,6457.3,79.5,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Brick,Damaged,Moderate,kg,5061.8,70.6,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Asphalt,Moderate,None,tonnes,1009.5,43.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Brick,Severely Damaged,Moderate,units,7178.4,77.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECYCLE
Brick,Good,None,units,7247.4,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,REUSE
Plastic,Severely Damaged,Low,units,7634.2,43.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RECOVER
Gypsum,Moderate,Hazardous,tonnes,253.9,19.1,2.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,DISPOSAL / SPECIALIZED HANDLING
Glass,Damaged,None,units,7795.0,34.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,REPAIR
Steel,Moderate,None,kg,3434.3,6.2,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,REPAIR
